sub,run,obj,type,z,roi
23,learned,last,target,0.0141897856864073,CA23DG
23,pre-learned,first,target,0.0277986486514751,CA23DG
23,pre-learned,last,target,-0.031459615655811,CA23DG
24,learned,first,target,0.00851411031466294,CA23DG
24,learned,last,target,0.00807559227760643,CA23DG
24,pre-learned,first,target,-0.0062107188347556,CA23DG
24,pre-learned,last,target,-5.38501827663489e-4,CA23DG
25,learned,first,target,-0.00253296112303357,CA23DG
25,learned,last,target,-0.0275102804710296,CA23DG
25,pre-learned,first,target,0.00571906549707358,CA23DG
25,pre-learned,last,target,0.0601833584457337,CA23DG
26,learned,first,target,0.0254148066241288,CA23DG
26,learned,last,target,0.0112488951268402,CA23DG
26,pre-learned,first,target,0.0031757683460159,CA23DG
26,pre-learned,last,target,-0.0181625198626944,CA23DG
27,learned,first,target,-0.0135626756346692,CA23DG
27,learned,last,target,-0.0139383819121429,CA23DG
27,pre-learned,first,target,0.00958860782549467,CA23DG
27,pre-learned,last,target,0.00703826395269531,CA23DG
28,learned,first,target,0.00837260031012916,CA23DG
28,learned,last,target,0.0296551741407209,CA23DG
28,pre-learned,first,target,0.02656612236085,CA23DG
28,pre-learned,last,target,-0.014929074040549,CA23DG
29,learned,first,target,-0.0306525146800374,CA23DG
29,learned,last,target,0.0256326741135518,CA23DG
29,pre-learned,first,target,0.00728772158846346,CA23DG
29,pre-learned,last,target,0.0101359368495156,CA23DG
31,learned,first,target,-0.00609028332000882,CA23DG
31,learned,last,target,-0.0186815796762999,CA23DG
31,pre-learned,first,target,0.00598291325434896,CA23DG
31,pre-learned,last,target,0.0145017550235902,CA23DG
32,learned,first,target,-0.0106848807125993,CA23DG
32,learned,last,target,0.0206647754651463,CA23DG
32,pre-learned,first,target,0.0211220449655034,CA23DG
32,pre-learned,last,target,-0.0327389504142848,CA23DG
33,learned,first,target,0.0163889033943431,CA23DG
33,learned,last,target,-0.0186969275130448,CA23DG
33,pre-learned,first,target,-0.00475680699727748,CA23DG
33,pre-learned,last,target,-0.0267063426466781,CA23DG
35,learned,first,target,-0.00173350559058477,CA23DG
35,learned,last,target,0.0231017082176276,CA23DG
35,pre-learned,first,target,0.0441491675086624,CA23DG
35,pre-learned,last,target,-0.0125876891242375,CA23DG
36,learned,first,target,-0.0111914809894046,CA23DG
36,learned,last,target,-0.00542215296151638,CA23DG
36,pre-learned,first,target,0.0111970019519698,CA23DG
36,pre-learned,last,target,-0.0134189048367108,CA23DG
1,learned,first,competitor,-0.0223600957043199,CA1
1,learned,last,competitor,-0.00975870921163987,CA1
1,pre-learned,first,competitor,0.0074319194630668,CA1
1,pre-learned,last,competitor,-0.00134049610607403,CA1
2,learned,first,competitor,0.00713225066025121,CA1
2,learned,last,competitor,-0.00517931594025714,CA1
2,pre-learned,first,competitor,-0.0044972695723379,CA1
2,pre-learned,last,competitor,0.0117746472496605,CA1
3,learned,first,competitor,-0.0176063924184182,CA1
3,learned,last,competitor,-0.00930802986031468,CA1
3,pre-learned,first,competitor,-0.010903580521428,CA1
3,pre-learned,last,competitor,-0.00416500253399657,CA1
4,learned,first,competitor,0.0234041245437227,CA1
4,learned,last,competitor,0.0224338587811912,CA1
4,pre-learned,first,competitor,0.00538814537675098,CA1
4,pre-learned,last,competitor,0.0145054412149232,CA1
5,learned,first,competitor,0.0119565888829571,CA1
5,learned,last,competitor,0.00572148984697293,CA1
5,pre-learned,first,competitor,0.0204165621471599,CA1
5,pre-learned,last,competitor,-0.0214774070017346,CA1
6,learned,first,competitor,-0.0151335742376942,CA1
6,learned,last,competitor,-0.00651610870858831,CA1
6,pre-learned,first,competitor,-0.0217546760007189,CA1
6,pre-learned,last,competitor,-0.0197564898379157,CA1
7,learned,first,competitor,-0.00547064204273699,CA1
7,learned,last,competitor,-0.0196283230340967,CA1
7,pre-learned,first,competitor,-0.0465491760112996,CA1
7,pre-learned,last,competitor,-0.0354993445416057,CA1
9,learned,first,competitor,-0.00602952527089636,CA1
9,learned,last,competitor,-0.00353704444158576,CA1
9,pre-learned,first,competitor,0.0104987022173637,CA1
9,pre-learned,last,competitor,0.0260954842619699,CA1
10,learned,first,competitor,-0.0127703662934078,CA1
10,learned,last,competitor,7.30830600485857e-5,CA1
10,pre-learned,first,competitor,-2.53108229113251e-4,CA1
10,pre-learned,last,competitor,-0.00651569295166663,CA1
11,learned,first,competitor,0.0327818176628873,CA1
11,learned,last,competitor,-0.0117810458051005,CA1
11,pre-learned,first,competitor,0.0238271623194046,CA1
11,pre-learned,last,competitor,-0.011522646499288,CA1
12,learned,first,competitor,-0.0132008777714676,CA1
12,learned,last,competitor,-0.0137697903776435,CA1
12,pre-learned,first,competitor,0.00880480697308622,CA1
12,pre-learned,last,competitor,0.0108693338748251,CA1
13,learned,first,competitor,0.0149278077837798,CA1
13,learned,last,competitor,-0.0029807342407652,CA1
13,pre-learned,first,competitor,0.00720805083386573,CA1
13,pre-learned,last,competitor,0.0102059885778779,CA1
14,learned,first,competitor,-0.0171482192981394,CA1
14,learned,last,competitor,0.027896229217736,CA1
14,pre-learned,first,competitor,0.00983336586116855,CA1
14,pre-learned,last,competitor,-0.00443987250814163,CA1
17,learned,first,competitor,-0.00546549596434369,CA1
17,learned,last,competitor,0.0145552837768754,CA1
17,pre-learned,first,competitor,0.0131240974429199,CA1
17,pre-learned,last,competitor,0.00140338004874856,CA1
18,learned,first,competitor,0.0261609559076442,CA1
18,learned,last,competitor,-0.00726007646813609,CA1
18,pre-learned,first,competitor,0.0213941360552888,CA1
18,pre-learned,last,competitor,0.0181324952448449,CA1
19,learned,first,competitor,0.0037885900459936,CA1
19,learned,last,competitor,0.00874409442024403,CA1
19,pre-learned,first,competitor,-0.011975705449351,CA1
19,pre-learned,last,competitor,0.0145427787105217,CA1
20,learned,first,competitor,0.0134827609282676,CA1
20,learned,last,competitor,-0.00762821502384176,CA1
20,pre-learned,first,competitor,0.0353671931158016,CA1
20,pre-learned,last,competitor,-0.00140487550391338,CA1
21,learned,first,competitor,-0.0180844294986323,CA1
21,learned,last,competitor,-0.00234580211431698,CA1
21,pre-learned,first,competitor,0.00617134643391473,CA1
21,pre-learned,last,competitor,-0.0107191498676473,CA1
22,learned,first,competitor,0.00437651340217881,CA1
22,learned,last,competitor,0.012531902529386,CA1
22,pre-learned,first,competitor,0.023861869499643,CA1
22,pre-learned,last,competitor,-0.0376722004231262,CA1
23,learned,first,competitor,0.0214935183196769,CA1
23,learned,last,competitor,0.0129027720863519,CA1
23,pre-learned,first,competitor,0.00565398703194686,CA1
23,pre-learned,last,competitor,0.00463728724500544,CA1
24,learned,first,competitor,0.00605771108195012,CA1
24,learned,last,competitor,0.0291383618447654,CA1
24,pre-learned,first,competitor,0.0130923388744903,CA1
24,pre-learned,last,competitor,0.00380737186025294,CA1
25,learned,first,competitor,0.00919328616940377,CA1
25,learned,last,competitor,-0.00570824922286475,CA1
25,pre-learned,first,competitor,-0.0140834758644726,CA1
