run.2,sub,N,N-1,N-2,N-3,N+1,N+2,N+3
N-1,29,0.022456776925953284,NA,9.291285662643754e-4,0.016128799042370755,0.0015860053628475224,-0.030050821934530052,-0.07870693632189167
N-1,31,0.006349936967170776,NA,0.0016139481078708228,0.05041731022894909,0.03962150651567734,0.0021181428647940505,0.02153325166878191
N-1,32,-0.04006779935584099,NA,0.018523285315119015,-0.041481416160178565,0.01956379280761561,0.0046007257324003955,-0.005102368410877604
N-1,33,-0.009035060676391132,NA,0.011850143299615583,0.028336048845913363,0.00730572737581765,0.018757157441910765,0.008421311629225355
N-1,35,-0.011910215113440193,NA,-0.01986299109523277,-0.013859889652612005,0.025343630017289915,-0.02228237854863236,0.009033497141173305
N-1,36,0.0010659054621146218,NA,0.030272683852736394,0.010666636621506844,-0.008222485919170254,-0.01617495287915063,0.08926858199870297
N-2,1,-0.004469317894493302,0.0011159510592676045,NA,0.0029682742434495395,0.010230910992230714,-0.049425111888481026,-0.03673478441958499
N-2,2,0.011473383645323318,0.0010559062852517759,NA,0.017494884050092124,0.01579467596512632,0.0052872070768015395,-0.023903526920926822
N-2,3,-0.01622182602349428,0.006930767547887547,NA,-0.017931564802761132,-0.0130741072273633,-0.025080847899258598,0.0021008831423317944
N-2,4,-0.01841388326946535,-0.034760716991606835,NA,0.01826990153326276,-0.0333273069922135,-0.03322600652647132,NA
N-2,5,-0.031600162750194255,-0.012871934648017957,NA,0.0028284916084487014,0.010644766477340993,0.01107004407865632,0.007173544240957226
N-2,6,-0.021224122386837928,-0.017245060225341915,NA,-0.011757354268306755,3.3391628363781177e-4,0.008832868468158568,-0.0107979739271708
N-2,7,0.012049068545496195,0.004526685121345216,NA,0.0340225587900577,-0.011537746173819762,0.038379466714596924,-0.013759966953796622
N-2,9,-0.026821257166691623,-0.015545495231247286,NA,0.03380465590371611,-0.01387824853642511,4.415812233332158e-4,0.027279745943106535
N-2,10,0.002396969536863222,0.01159370083255424,NA,-0.001597824874688929,-0.0021204954392627716,-0.05118374886316823,-0.12051973230566956
N-2,11,0.014815484826598077,-9.545734372682687e-4,NA,-0.004604205442488768,-0.06817762233474231,0.019156758145160536,3.102826608655414e-4
N-2,12,0.025689486011760507,-0.03384815690826238,NA,-0.004979248342213463,0.003394831139138382,0.005943198353118634,0.04011933876688865
N-2,13,0.011210250183847083,0.006990579605456011,NA,-0.02430261359863663,-0.022311047310732475,-0.04756266139430571,0.05340314613011152
N-2,14,-0.02354833410719242,0.021653816881371895,NA,-9.043567357207528e-4,0.00542096035403992,0.006311679026521761,-0.043709102524255444
N-2,17,0.006726483599923191,-0.002883755469061876,NA,0.013593402366737098,-0.0031883750790209454,-0.01379003700191254,0.04668344148901542
N-2,18,-0.07796134024709767,-0.0164505351918896,NA,0.04625796154294506,0.039508440190399764,0.014689808047358593,-0.04362492807724165
