scene_num,subnum,1,2,3,4,5,6
2,14,1,0,1,1,1,1
2,17,0,0,0,1,1,1
2,18,0,1,1,1,1,1
2,19,0,0,1,1,1,1
2,20,0,1,1,1,1,1
2,21,0,1,0,1,1,1
2,22,0,0,1,1,1,1
2,23,0,0,1,1,1,1
2,24,0,0,0,0,1,1
2,25,0,1,0,1,1,1
2,26,0,0,1,1,1,1
2,27,0,1,1,1,1,1
2,28,1,0,1,1,1,1
2,29,1,0,1,1,1,1
2,31,1,0,0,0,0,0
2,32,0,1,1,1,1,1
2,33,0,0,1,1,1,1
2,35,0,0,1,1,1,1
2,36,0,1,0,1,1,1
3,1,0,0,1,1,1,1
3,2,0,0,0,1,1,1
3,3,0,0,1,1,1,1
3,4,0,0,0,0,0,0
3,5,0,0,0,1,1,1
3,6,0,1,1,1,1,1
3,7,0,0,0,1,1,1
3,9,0,1,0,0,1,1
3,10,0,0,0,0,1,1
3,11,0,0,1,1,1,1
3,12,0,1,0,0,1,1
3,13,0,0,0,0,0,0
3,14,0,1,1,1,1,1
3,17,0,0,1,0,0,1
3,18,0,0,0,1,1,1
3,19,0,0,1,1,1,1
3,20,1,1,1,1,1,1
3,21,1,1,1,1,1,1
3,22,0,0,0,0,1,1
3,23,0,0,0,0,1,1
3,24,0,1,0,1,1,1
3,25,0,1,1,1,1,1
3,26,0,0,0,1,1,1
3,27,0,0,0,0,1,1
3,28,0,1,1,1,1,1
3,29,0,0,0,1,1,1
3,31,0,1,0,0,1,1
3,32,0,0,0,1,1,1
3,33,0,0,0,0,0,0
3,35,0,0,0,1,1,1
3,36,0,1,0,1,1,1
4,1,0,1,0,1,1,1
4,2,0,0,1,1,1,1
4,3,0,1,1,1,1,1
4,4,0,1,1,1,1,1
4,5,0,0,1,1,1,1
4,6,0,1,0,1,1,1
4,7,0,0,1,0,1,1
4,9,0,1,1,1,1,1
4,10,0,0,0,0,1,1
4,11,0,0,0,0,0,1
4,12,0,0,1,1,0,1
4,13,0,0,0,0,1,1
4,14,0,0,1,1,1,1
4,17,0,0,1,1,1,1
4,18,1,0,0,0,0,1
4,19,0,0,1,0,0,0
4,20,0,1,0,0,1,1
4,21,0,1,1,1,1,0
4,22,0,0,0,0,1,1
4,23,0,0,0,0,0,1
4,24,0,0,0,0,0,1
4,25,0,0,0,0,1,1
4,26,0,1,1,1,1,1
4,27,1,1,1,1,1,1
4,28,0,1,1,1,1,1
4,29,0,0,0,1,1,1
4,31,0,0,0,0,1,0
4,32,0,1,1,1,1,1
4,33,0,0,0,0,1,1
4,35,1,1,1,1,1,1
4,36,0,0,1,1,1,1
5,1,0,1,1,1,1,1
5,2,0,0,1,1,0,1
5,3,1,1,1,1,1,1
5,4,0,0,0,0,0,1
5,5,0,1,1,1,1,1
5,6,0,1,1,1,1,1
5,7,0,0,1,1,1,1
5,9,0,1,1,1,0,1
5,10,0,0,0,0,0,1
5,11,0,0,1,1,1,1
5,12,1,1,0,1,1,1
5,13,0,0,0,1,1,1
5,14,0,1,0,0,1,1
5,17,0,0,0,0,1,1
5,18,0,1,1,1,1,1
5,19,0,0,1,1,1,1
5,20,0,0,0,1,1,1
5,21,1,0,1,1,1,1
5,22,0,0,0,0,1,1
5,23,0,0,1,0,1,0
5,24,0,0,0,1,0,1
5,25,0,0,1,1,1,1
5,26,0,0,1,1,1,1
5,27,0,0,1,0,1,1
5,28,0,0,1,1,1,1
5,29,1,0,0,1,1,0
5,31,0,0,1,1,1,1
5,32,0,1,1,1,1,1
5,33,0,1,0,1,1,1
5,35,1,1,1,1,0,1
5,36,0,1,1,1,1,1
6,1,1,1,1,1,1,1
6,2,1,1,1,0,1,1
6,3,0,1,1,1,1,1
6,4,0,1,1,1,1,1
6,5,0,1,1,1,1,1
6,6,1,1,1,1,1,1
6,7,0,1,1,1,1,1
6,9,0,0,1,1,1,1
6,10,0,0,0,0,0,0
6,11,0,0,1,1,1,1
6,12,0,1,1,1,1,1
6,13,0,0,1,1,1,1
6,14,0,0,0,0,1,1
6,17,0,0,0,0,1,1
6,18,0,1,1,1,1,1
6,19,0,0,0,0,1,1
6,20,0,1,1,1,1,1
6,21,1,1,1,1,1,1
6,22,0,0,0,1,1,1
6,23,0,0,1,1,1,1
6,24,0,0,1,1,1,1
6,25,0,0,0,0,1,1
6,26,0,1,1,1,1,1
6,27,0,1,1,1,1,1
6,28,0,0,0,1,1,1
6,29,0,0,0,1,1,1
6,31,0,0,1,1,1,1
6,32,1,0,1,1,1,1
6,33,0,1,1,1,1,1
6,35,0,1,1,1,1,1
6,36,0,1,1,1,1,0
7,1,0,1,1,1,1,1
7,2,0,0,1,0,1,1
7,3,0,1,1,1,1,1
7,4,0,0,0,0,0,1
7,5,0,0,1,1,1,1
7,6,0,0,1,1,1,1
7,7,0,0,1,1,1,1
7,9,0,0,0,1,1,1
7,10,0,1,1,1,1,1
7,11,0,0,0,0,0,1
