"";"sub";"run";"type";"z";"roi"
"157";20;"IP";"within_pair-across_pair";-0,0108946371094293;"ppa_avg_scene_top_300"
"158";20;"Pre";"within_pair-across_pair";0,0189042925401052;"ppa_avg_scene_top_300"
"159";21;"IP";"within_pair-across_pair";-0,0157041064610309;"ppa_avg_scene_top_300"
"160";21;"Pre";"within_pair-across_pair";0,0227152671747421;"ppa_avg_scene_top_300"
"161";22;"IP";"within_pair-across_pair";-0,0195052646600585;"ppa_avg_scene_top_300"
"162";22;"Pre";"within_pair-across_pair";0,0170656780596635;"ppa_avg_scene_top_300"
"163";23;"IP";"within_pair-across_pair";0,0124763344419521;"ppa_avg_scene_top_300"
"164";23;"Pre";"within_pair-across_pair";0,0140038590662002;"ppa_avg_scene_top_300"
"165";24;"IP";"within_pair-across_pair";0,0243959611975521;"ppa_avg_scene_top_300"
"166";24;"Pre";"within_pair-across_pair";0,00484597318812362;"ppa_avg_scene_top_300"
"167";25;"IP";"within_pair-across_pair";-0,0108413398353989;"ppa_avg_scene_top_300"
"168";25;"Pre";"within_pair-across_pair";0,00649032514615976;"ppa_avg_scene_top_300"
"169";26;"IP";"within_pair-across_pair";0,0238024219122563;"ppa_avg_scene_top_300"
"170";26;"Pre";"within_pair-across_pair";0,00457983962492514;"ppa_avg_scene_top_300"
"171";27;"IP";"within_pair-across_pair";0,0100937108181771;"ppa_avg_scene_top_300"
"172";27;"Pre";"within_pair-across_pair";0,0124838634832585;"ppa_avg_scene_top_300"
"173";28;"IP";"within_pair-across_pair";0,0106234571733754;"ppa_avg_scene_top_300"
"174";28;"Pre";"within_pair-across_pair";-0,00447224997149237;"ppa_avg_scene_top_300"
"175";29;"IP";"within_pair-across_pair";0,0212453002344039;"ppa_avg_scene_top_300"
"176";29;"Pre";"within_pair-across_pair";0,0208387520897996;"ppa_avg_scene_top_300"
"177";31;"IP";"within_pair-across_pair";-0,0132819026098708;"ppa_avg_scene_top_300"
"178";31;"Pre";"within_pair-across_pair";0,00652990530598444;"ppa_avg_scene_top_300"
"179";32;"IP";"within_pair-across_pair";-0,00308113579079415;"ppa_avg_scene_top_300"
"180";32;"Pre";"within_pair-across_pair";0,0349423283019156;"ppa_avg_scene_top_300"
"181";33;"IP";"within_pair-across_pair";0,0084101863676188;"ppa_avg_scene_top_300"
"182";33;"Pre";"within_pair-across_pair";0,0161682949006391;"ppa_avg_scene_top_300"
"183";35;"IP";"within_pair-across_pair";0,00610164010786006;"ppa_avg_scene_top_300"
"184";35;"Pre";"within_pair-across_pair";-0,00259636923649148;"ppa_avg_scene_top_300"
"185";36;"IP";"within_pair-across_pair";-0,0188925472924857;"ppa_avg_scene_top_300"
"186";36;"Pre";"within_pair-across_pair";0,00938713753433047;"ppa_avg_scene_top_300"
"187";1;"IP";"within_pair-across_pair";0,0154878805198886;"evc_avg_all_top_300"
