scene_id;rt;accuracy;confResp;subnum;run;scene_num;high.conf.correct
A14;2.1385723499115556;0;1;25;6;14;0
A16;1.3360836358042434;1;1;25;6;16;1
B14;1.3861996287014335;0;1;25;6;14;0
B17;1.2694722469896078;0;0;25;6;17;0
B7;2.0040688164299354;0;0;25;6;7;0
A4;1.686840459704399;1;1;25;6;4;1
A11;0.5514114745892584;1;1;25;6;11;1
B9;0.9187913167988881;1;1;25;6;9;1
A6;1.2856489641126245;1;1;25;6;6;1
A10;1.2358063401188701;1;1;25;6;10;1
A13;0.7848209282383323;1;1;25;6;13;1
A12;1.2693699224619195;1;1;25;6;12;1
B5;0.6347493388457224;1;1;25;6;5;1
B12;0.9854642513673753;0;1;25;6;12;0
A17;2.3214304593857378;1;1;25;6;17;1
B6;0.9019047467736527;1;1;25;6;6;1
B10;0.9303785328520462;1;1;25;6;10;1
A13;3.03924316086341;1;0;26;1;13;0
B12;1.72018391231541;0;1;26;1;12;0
B5;1.87039294140413;0;1;26;1;5;0
B17;2.22124755894765;1;0;26;1;17;0
A16;2.13771524024196;1;0;26;1;16;0
A9;1.85349466628395;1;0;26;1;9;0
B4;2.38810301630292;1;1;26;1;4;1
A5;2.38791196013335;0;0;26;1;5;0
A4;1.55323896824848;1;0;26;1;4;0
B6;2.27158481464721;1;0;26;1;6;0
B16;1.92038999625947;1;0;26;1;16;0
A6;1.72019826038741;1;0;26;1;6;0
A10;2.8721940042451;0;0;26;1;10;0
B8;1.55317591212224;1;1;26;1;8;1
B13;2.63859727024101;0;0;26;1;13;0
B11;1.87046770239249;0;1;26;1;11;0
