session;sub;value;roi
5;13;5,20317122238923e-03;ca23dg_body_thre_0.5
5;14;-6,30505573804979e-03;ca23dg_body_thre_0.5
5;17;-3,53614450030355e-02;ca23dg_body_thre_0.5
5;18;7,22469379135567e-03;ca23dg_body_thre_0.5
5;19;-3,24996465758010e-02;ca23dg_body_thre_0.5
5;20;4,13193036626734e-02;ca23dg_body_thre_0.5
5;21;1,92391841860294e-03;ca23dg_body_thre_0.5
5;22;2,25332415776998e-03;ca23dg_body_thre_0.5
5;23;3,17570684094670e-02;ca23dg_body_thre_0.5
5;24;2,34986152240317e-02;ca23dg_body_thre_0.5
5;25;-2,26881252339538e-03;ca23dg_body_thre_0.5
5;26;4,30309468261142e-03;ca23dg_body_thre_0.5
5;27;-6,11407482028178e-03;ca23dg_body_thre_0.5
5;28;-1,34613289867809e-02;ca23dg_body_thre_0.5
5;29;1,71791389603242e-02;ca23dg_body_thre_0.5
5;31;9,78448244773219e-03;ca23dg_body_thre_0.5
5;32;-1,74874058543913e-02;ca23dg_body_thre_0.5
5;33;-1,06097773258730e-03;ca23dg_body_thre_0.5
5;35;4,05965961791757e-02;ca23dg_body_thre_0.5
5;36;-1,23181546822602e-02;ca23dg_body_thre_0.5
1;1;3,54254865251787e-03;ca1_body_thre_0.5
1;2;2,37770298557505e-03;ca1_body_thre_0.5
1;3;-1,14964440567279e-03;ca1_body_thre_0.5
1;4;-4,97484383915683e-03;ca1_body_thre_0.5
1;5;-1,25644087391695e-02;ca1_body_thre_0.5
1;6;5,92303785674825e-03;ca1_body_thre_0.5
1;7;1,12667930561162e-02;ca1_body_thre_0.5
1;9;1,94384581521156e-02;ca1_body_thre_0.5
1;10;1,24057914956068e-02;ca1_body_thre_0.5
1;11;-2,76913446493312e-03;ca1_body_thre_0.5
1;12;-1,64566731053145e-02;ca1_body_thre_0.5
1;13;-1,37265591470566e-03;ca1_body_thre_0.5
1;14;-5,23291502663100e-04;ca1_body_thre_0.5
1;17;1,31410062377467e-02;ca1_body_thre_0.5
1;18;-5,97928793363735e-03;ca1_body_thre_0.5
1;19;2,66449805492784e-02;ca1_body_thre_0.5
1;20;-7,33404984660538e-03;ca1_body_thre_0.5
1;21;-9,19402027430253e-03;ca1_body_thre_0.5
1;22;-4,60854845548168e-03;ca1_body_thre_0.5
1;23;2,66041308809876e-02;ca1_body_thre_0.5
1;24;-1,37781167306062e-02;ca1_body_thre_0.5
1;25;-1,22859913769642e-02;ca1_body_thre_0.5
1;26;7,24332752180750e-03;ca1_body_thre_0.5
1;27;3,80327423676957e-03;ca1_body_thre_0.5
1;28;-1,92969269389627e-02;ca1_body_thre_0.5
1;29;-2,26677714135816e-03;ca1_body_thre_0.5
1;31;1,63254529608322e-02;ca1_body_thre_0.5
1;32;8,71288888255773e-03;ca1_body_thre_0.5
1;33;5,80371824219319e-03;ca1_body_thre_0.5
1;35;4,17504058904171e-03;ca1_body_thre_0.5
1;36;2,51527787964513e-03;ca1_body_thre_0.5
2;1;-1,90080420677426e-02;ca1_body_thre_0.5
2;2;-6,42718382857336e-03;ca1_body_thre_0.5
2;3;-2,60201715380946e-02;ca1_body_thre_0.5
2;4;5,85579579644434e-03;ca1_body_thre_0.5
2;5;3,18680312721023e-03;ca1_body_thre_0.5
2;6;-2,88621888500578e-03;ca1_body_thre_0.5
2;7;-5,12532452040216e-03;ca1_body_thre_0.5
2;9;9,49315402783564e-03;ca1_body_thre_0.5
2;10;-1,24473256706835e-02;ca1_body_thre_0.5
2;11;-5,05434286877378e-02;ca1_body_thre_0.5
2;12;1,50860357052610e-03;ca1_body_thre_0.5
2;13;4,38358265649682e-03;ca1_body_thre_0.5
2;14;-3,06614077551461e-02;ca1_body_thre_0.5
2;17;7,47818414957127e-03;ca1_body_thre_0.5
2;18;-1,90567851797446e-02;ca1_body_thre_0.5
2;19;1,50729338339837e-02;ca1_body_thre_0.5
2;20;4,21507754480288e-02;ca1_body_thre_0.5
2;21;1,15071470917021e-02;ca1_body_thre_0.5
2;22;7,03162509017427e-03;ca1_body_thre_0.5
2;23;1,33105758503726e-03;ca1_body_thre_0.5
2;24;1,34075175891955e-02;ca1_body_thre_0.5
2;25;-1,07714737116298e-03;ca1_body_thre_0.5
2;26;2,13690993299681e-02;ca1_body_thre_0.5
2;27;5,34687779244267e-03;ca1_body_thre_0.5
2;28;3,41725892844994e-04;ca1_body_thre_0.5
2;29;1,53646638207412e-02;ca1_body_thre_0.5
2;31;-3,16265320224243e-03;ca1_body_thre_0.5
2;32;1,12727695959962e-03;ca1_body_thre_0.5
2;33;-4,35341645730121e-03;ca1_body_thre_0.5
2;35;5,17183123899983e-03;ca1_body_thre_0.5
2;36;5,26315615757667e-03;ca1_body_thre_0.5
3;1;1,17415398423080e-02;ca1_body_thre_0.5
3;2;-1,39736995585351e-02;ca1_body_thre_0.5
3;3;5,06905105777177e-04;ca1_body_thre_0.5
3;4;-1,07821191363556e-02;ca1_body_thre_0.5
3;5;-1,01865194983329e-02;ca1_body_thre_0.5
3;6;-8,01349315527776e-03;ca1_body_thre_0.5
3;7;-1,11630073124002e-02;ca1_body_thre_0.5
3;9;-3,33411331734313e-02;ca1_body_thre_0.5
3;10;7,63607331392179e-03;ca1_body_thre_0.5
3;11;-5,32015468541510e-03;ca1_body_thre_0.5
3;12;-1,08090620598926e-02;ca1_body_thre_0.5
3;13;-4,95814051717037e-03;ca1_body_thre_0.5
3;14;4,29852842744095e-04;ca1_body_thre_0.5
3;17;-2,06654179702303e-02;ca1_body_thre_0.5
3;18;-5,64184216649000e-03;ca1_body_thre_0.5
3;19;1,00104713330511e-02;ca1_body_thre_0.5
3;20;3,15787486070772e-03;ca1_body_thre_0.5
3;21;-3,91525671462907e-03;ca1_body_thre_0.5
3;22;-1,45756944223726e-02;ca1_body_thre_0.5
3;23;1,28625658747605e-04;ca1_body_thre_0.5
3;24;1,10528715188999e-02;ca1_body_thre_0.5
3;25;1,06134174098195e-02;ca1_body_thre_0.5
3;26;-6,43315971595999e-03;ca1_body_thre_0.5
3;27;-9,57691470619806e-03;ca1_body_thre_0.5
3;28;-3,66831732305960e-03;ca1_body_thre_0.5
3;29;-1,69651099379925e-02;ca1_body_thre_0.5
3;31;7,61719531315964e-03;ca1_body_thre_0.5
3;32;6,43579399201708e-03;ca1_body_thre_0.5
3;33;5,84339302424962e-03;ca1_body_thre_0.5
3;35;-1,27977186965462e-02;ca1_body_thre_0.5
3;36;-6,63586962673698e-03;ca1_body_thre_0.5
4;1;-6,87762798551539e-03;ca1_body_thre_0.5
4;2;9,02253195005653e-03;ca1_body_thre_0.5
