"";"sub";"run";"obj";"type";"z";"roi"
"90";26;"learned";"last";"within_pair-across_pair";0,0109454274050164;"ca23dg_body_thre_0.5"
"91";26;"pre-learned";"first";"within_pair-across_pair";-0,00133548284216484;"ca23dg_body_thre_0.5"
"92";26;"pre-learned";"last";"within_pair-across_pair";-0,00500065991986311;"ca23dg_body_thre_0.5"
"93";27;"learned";"first";"within_pair-across_pair";-0,00785772457105437;"ca23dg_body_thre_0.5"
"94";27;"learned";"last";"within_pair-across_pair";-0,00486305562640287;"ca23dg_body_thre_0.5"
"95";27;"pre-learned";"first";"within_pair-across_pair";0,0179442379852528;"ca23dg_body_thre_0.5"
"96";27;"pre-learned";"last";"within_pair-across_pair";0,00760101917879223;"ca23dg_body_thre_0.5"
"97";28;"learned";"first";"within_pair-across_pair";-0,00663415214278409;"ca23dg_body_thre_0.5"
"98";28;"learned";"last";"within_pair-across_pair";-0,00937075944889622;"ca23dg_body_thre_0.5"
"99";28;"pre-learned";"first";"within_pair-across_pair";0,00288422142388122;"ca23dg_body_thre_0.5"
"100";28;"pre-learned";"last";"within_pair-across_pair";0,0115608021399507;"ca23dg_body_thre_0.5"
"101";29;"learned";"first";"within_pair-across_pair";0,00929874841553658;"ca23dg_body_thre_0.5"
"102";29;"learned";"last";"within_pair-across_pair";-0,0521175502815136;"ca23dg_body_thre_0.5"
"103";29;"pre-learned";"first";"within_pair-across_pair";-0,0366765170164561;"ca23dg_body_thre_0.5"
"104";29;"pre-learned";"last";"within_pair-across_pair";0,00921976498342269;"ca23dg_body_thre_0.5"
"105";31;"learned";"first";"within_pair-across_pair";-0,00659198786186119;"ca23dg_body_thre_0.5"
"106";31;"learned";"last";"within_pair-across_pair";0,0257835865484691;"ca23dg_body_thre_0.5"
"107";31;"pre-learned";"first";"within_pair-across_pair";-0,0293638658882945;"ca23dg_body_thre_0.5"
"108";31;"pre-learned";"last";"within_pair-across_pair";0,00949151852501232;"ca23dg_body_thre_0.5"
"109";32;"learned";"first";"within_pair-across_pair";-0,0303419577313024;"ca23dg_body_thre_0.5"
"110";32;"learned";"last";"within_pair-across_pair";0,00899713605800593;"ca23dg_body_thre_0.5"
"111";32;"pre-learned";"first";"within_pair-across_pair";0,0102588706620502;"ca23dg_body_thre_0.5"
"112";32;"pre-learned";"last";"within_pair-across_pair";-0,0120560845985528;"ca23dg_body_thre_0.5"
"113";33;"learned";"first";"within_pair-across_pair";0,00494859888431199;"ca23dg_body_thre_0.5"
"114";33;"learned";"last";"within_pair-across_pair";-0,0011800843614629;"ca23dg_body_thre_0.5"
"115";33;"pre-learned";"first";"within_pair-across_pair";0,0260421306897774;"ca23dg_body_thre_0.5"
"116";33;"pre-learned";"last";"within_pair-across_pair";0,0114384030608507;"ca23dg_body_thre_0.5"
"117";35;"learned";"first";"within_pair-across_pair";0,00440762404317786;"ca23dg_body_thre_0.5"
"118";35;"learned";"last";"within_pair-across_pair";-0,0157262809868181;"ca23dg_body_thre_0.5"
"119";35;"pre-learned";"first";"within_pair-across_pair";-0,00524713150410697;"ca23dg_body_thre_0.5"
"120";35;"pre-learned";"last";"within_pair-across_pair";0,0159007207700274;"ca23dg_body_thre_0.5"
